name,source,gender,wikidata,type
"""ท่าข้าม 30 (บ้านพิศาล) แยก 1-2""",,,,way
-,,,,way
"001 กาญจนาภิเษก 12",,,,way
"01 กาญจนาภิเษก 10",,,,way
"01 กาญจนาภิเษก 11/2",,,,way
"01 กาญจนาภิเษก 25",,,,way
"01 กาญจนาภิเษก 28",,,,way
"01 กาญจนาภิเษก 30",,,,way
"01 กาญจนาภิเษก 32",,,,way
"01 กาญจนาภิเษก 46",,,,way
"01 กาญจนาภิเษก 48",,,,way
"01 กาญจนาภิเษก 54",,,,way
"01 กาญจนาภิเษก 8",,,,way
"01 กาญจนาภิเษก 8/1",,,,way
"01 กาญจนาภิเษก 9",,,,way
1,,,,way
2,,,,way
3,,,,way
4,,,,way
10,,,,way
11,,,,way
11๋J,,,,way
12,,,,way
13,,,,way
14,,,,way
15,,,,way
"18 ปัญจทรัพย์ พาร์ค",,,,way
"2/3 ชัยพฤกษ์ 2/4",,,,way
"20 ปัญจทรัพย์ พาร์ค",,,,way
21,,,,way
"29 แยก 1",,,,way
"29 แยก 2",,,,way
"4/11 ชัยพฤกษ์ 4/10",,,,way
"40 แยก 2",,,,way
"40 แยก 3",,,,way
"40 แยก 4",,,,way
"40 แยก 6/2",,,,way
"40 แยก 6/2-2",,,,way
5,,,,way
6,,,,way
7,,,,way
8,,,,way
9,,,,way
"Arun Amarin 36",,,,way
"Arun Ammarin 39",,,,way
"Bang Phrom 11",,,,way
"Bang Waek 12",,,,way
"Bang Waek 18",,,,way
"Bangkok Boulevard",,,,way
"Basil Street",,,,way
"Best LPG",,,,way
Borommaratchachonnani,,,,way
"Borommaratchachonnani  34",,,,way
"Borommaratchachonnani 17",,,,way
"Borommaratchachonnani 19",,,,way
"Borommaratchachonnani 2",,,,way
"Borommaratchachonnani 21",,,,way
"Borommaratchachonnani 42",,,,way
"Borommaratchachonnani 5",,,,way
"Borommaratchachonnani 55",,,,way
"Borommaratchachonnani Road",,,,way
"Chalaem Nimit 12",,,,way
"Chalaem Nimit 2",,,,way
"Chan 16 yaek 16",,,,way
"Chan Soi 16",,,,way
"Charan Sanit Wong 22",,,,way
"Charan Sanit Wong 3 Yaek 2",,,,way
"Charan Sanit Wong 35 Yaek 22",,,,way
"Charoen Krung 77/1",,,,way
"Charoen Krung 79 Yaek 10",,,,way
"Charoen Krung 79 Yaek 14",,,,way
"Charoen Krung 79 Yaek 16",,,,way
"Charoen Krung 79 Yaek 17",,,,way
"Charoen Krung 79 Yaek 18",,,,way
"Charoen Krung 79 Yaek 7",,,,way
"Charoen Krung 79 Yaek 8",,,,way
"Charoen Krung 85 Yaek 12",,,,way
"Charoen Krung 85 Yaek 20",,,,way
"Charoen Krung 85 Yaek 22",,,,way
"Charoen Krung 85 Yaek 24",,,,way
"Charoen Mit Alley",,,,way
"Charoen Rat Soi 1",,,,way
Chetawan,,,,way
"Chim Phili 7",,,,way
"Chok Chai Panchasap Townhome",,,,way
"Chok chai 4 soi 76",,,,way
"Chokchai School",,,,way
"Chuan Chuen U-Dom-Suk",,,,way
"Chumchon Bang Kho Laem Soi 16",,,,way
"Chumchon Bang Kho Laem Soi 18",,,,way
